company_name,niche,website,lang
SmileCare Dental,Dental clinic,https://example.com/smilecare,English
BlueRoof Realty,Real estate agency,https://example.com/blueroof,English
FitBox Gym,Local gym,https://example.com/fitbox,Romanian
GreenBite Bistro,Restaurant,https://example.com/greenbite,Romanian
SwiftFix HVAC,HVAC services,https://example.com/swiftfix,Romanian
AutoSpark Garage,Auto repair shop,https://example.com/autospark,Romanian
BrightPath Tutoring,Tutoring center,https://example.com/brightpath,English
FreshNest Cleaning,Cleaning services,https://example.com/freshnest,Romanian
Paws & Claws Vet Clinic,Veterinary clinic,https://example.com/pawsclaws,English
Bloom & Co. Florist,Florist,https://example.com/bloomco,Romanian
OptiView Optometry,Optometry clinic,https://example.com/optiview,English
VivaSpa Wellness,Spa / Wellness,https://example.com/vivaspa,Romanian
